	fact	title
0	"A ""Trump and Obama by the Numbers"" meme recounts accurate statistics about their job performances."	Does This Meme Accurately Show ‘Trump and Obama by the Numbers’?
1	"A ""large-scale killing"" of white farmers is taking place in South Africa."	Is a ‘Large-Scale Killing’ of White Farmers Underway in South Africa?
2	"A ""law to separate families"" was enacted prior to April 2018, and the federal government is powerless not to enforce it."	Was the ‘Law to Separate Families’ Passed in 1997 or ‘by Democrats’?
3	"A ""newly uncovered"" photograph reveals Alexandria Ocasio-Cortez was crying over an empty parking lot, not detained migrant children, at a protest in Texas."	Does an Image Show Ocasio-Cortez Fake-Crying at a Migrant Camp?
4	"A 13-year-old girl was beheaded by an ""illegal immigrant"" in a crime ""suppressed"" by the mainstream news media."	Police: 13-Year-Old Girl Was Beheaded After Seeing Her Grandmother Die
5	A Broward County employee witnessed elections staff filling out blank absentee ballots.	Did a Broward County Employee Witness Elections Staff Filling Out Blank Ballots?
6	A California couple gave their newborn child an emoji for a name.	Did a California Newborn Become the First Child with an Emoji for a Name?
7	"A Fox News guest disparaged teenage climate activist Greta Thunberg by calling her ""mentally ill."""	Did a Fox News Guest Disparage Teen Climate Activist Greta Thunberg?
8	A Fox News guest referred to people injecting marijuana into their systems.	Did a Fox News Guest Refer to ‘Shooting Up’ Marijuana?
9	A GoFundMe page was established to collect donations for embattled Supreme Court nominee Brett Kavanaugh.	Was a GoFundMe Page Established for Brett Kavanaugh?
10	A Planned Parenthood affiliate published a tweet opining that there should be a Disney princess who had an abortion.	Did Planned Parenthood Say There Should Be a Disney Princess Who Had an Abortion?
11	A Russian woman was embalmed alive due to the intravenous administration of formalin.	Was a Russian Woman ‘Embalmed Alive’ with a ‘Formalin Drip’?
12	A San Francisco mural portrait of Greta Thunberg used 700 gallons of spray paint.	Did a Mural of Greta Thunberg Use 700 Gallons of Spray Paint?
13	A Trump Tower hotel opened in Pyongyang, North Korea within a day of the historic summit between President Trump and Kim Jong-Un.	Did a Trump Tower Open in Pyongyang?
14	A U.S. border patrol agent was killed by attackers using rocks near the border of the United States and Mexico.	Was a U.S. Border Patrol Officer Killed by Attackers Armed with Rocks?
15	"A banner was hung from Trump Tower in Las Vegas stating that U.S. President Donald Trump ""betrayed and murdered Kurdish people."""	Was a Banner Hung from Trump Tower Saying He ‘Betrayed and Murdered Kurdish People’?
16	A billboard along route I-170 near St. Louis, Missouri showed President Donald Trump alongside an excerpt from a well-known Gospel verse.	Did a Billboard in Missouri Show President Trump Alongside a Gospel Quote?
17	A child died in June 2018 because his parents used essential oils to treat his asthma.	Did a Child with Asthma Die After Parents Switched to Essential Oils as Treatment?
18	A company is developing a lab-grown chicken nugget made from feathers.	Are Chicken Nuggets Made From Feathers Heading to Store Shelves?
19	"A contestant on ""Who Wants to Be a Millionaire"" needed audience assistance in defining ""horsepower,"" as opposed to ""llamathrust"" and ""zebraforce."""	Did a Game Show Contestant Need Help Distinguishing Horsepower From ‘Llamathrust’?
20	A disturbing photograph depicts a small boy who was detained by ICE in 2018 being held in a cage.	Does This Photo Show a Toddler in a Cage Detained by ICE in 2018?
21	A fire at a Republican National Committee office in Stepford, Connecticut, destroyed potentially incriminating evidence related to Hillary Clinton.	Was an RNC Office That Held Clinton Evidence ‘Burned to the Ground’?
22	A half dozen Trump-related entities were under criminal investigation in December 2018.	Did Several Entities Related to President Trump Face Criminal Investigation in 2018?
23	"A magazine advertisement from the 1950s promoted a handgun for women's use with the slogan ""for that strange, depraved creep who won't leave you alone."""	Is This a 1950s Women’s Magazine Ad for a Handgun to Shoot ‘Depraved Creeps’?
24	A man collapsed into a coma for three days after discovering his wife owned the property they had been renting for 10 years.	Did a Man Fall into Coma After Discovering Wife Owned House They Rented?
25	A man received a $153,000 hospital bill after a bite he sustained from a rattlesnake that he was attempting to take a selfie with.	Did a Man Receive a $153,000 Hospital Bill After a Failed Selfie With a Rattlesnake?
26	A medical examiner's conclusion that Health and Human Services drug pricing adviser Daniel Best died of multiple blunt force injuries contradicts the official ruling that he committed suicide.	Was HHS Drug Pricing Czar Daniel Best’s Death Ruled a Suicide Despite Evidence of Foul Play?
27	A new housing project is being built in West Virginia that will house 321 Syrian refugees at taxpayer expense while displacing Americans currently living there.	Is West Virginia Building a ‘Sharia Zone’ Housing Project for Syrian Refugees?
28	"A pedophilia group put up a sign reading ""Pedophiles are People Too"" near a school in Oregon."	Was a ‘Pedophiles Are People Too’ Notice Posted Near an Oregon School?
29	A photograph captures Rep. Elise Stefanik flipping off the camera at the conclusion of a House impeachment inquiry.	Is This a Picture of Elise Stefanik Flipping the Bird at an Impeachment Inquiry?
30	A photograph captures a couple kissing amidst the 1971 May Day protests.	Does This Photograph Show a Couple Kissing During the 1971 May Day Protests?
31	A photograph depicts an elderly homeless couple sleeping on the concrete in California.	Is This an ‘Elderly Homeless Couple’ in California?
32	A photograph documents a cache of wedding rings removed from Holocaust victims.	Does This Photo Show Wedding Rings Taken from Holocaust Victims?
33	A photograph documents that a portion of Interstate 40 in North Carolina was completely underwater after Hurricane Florence.	Does This Photograph Show a Stretch of I-40 in North Carolina Underwater?
34	A photograph of President Donald Trump in the White House Situation Room during a military raid in Syria was staged after the fact.	Was a Photo of Trump in the White House Situation Room Staged?
35	A photograph of U. S. President Donald Trump and first lady Melania Trump shows them with a baby who was orphaned by the August 2019 El Paso, Texas, mass shooting.	Did Trump Pose With a ‘Thumbs-Up’ Next to a Baby Orphaned in the El Paso Massacre?
36	A photograph of a migrant mother and her children fleeing a tear gas attack near a border crossing was staged.	Was the ‘Illegal Alien Mom with Kids’ Photograph Staged?
37	A photograph published in December 2019 showed a boy forced to sleep on a hospital floor in Leeds, England, due to overcrowding.	Does This Photo Show a Boy Forced to Sleep on the Floor of an English Hospital?
38	A photograph shared on social media in June 2019 showed former Vice President Joe Biden with the Grand Wizard of the Ku Klux Klan.	Does This Photo Show Joe Biden with the ‘Grand Wizard of the KKK’?
39	"A photograph shared on social media in mid-2019 shows a ""skinhead"" police officer with a ""right-wing militia"" tattoo."	Does This Photo Show ‘Skinhead Cop with a Right-Wing Militia Tattoo’ Arresting a Jewish Protester?
40	A photograph shared widely on social media in July 2019 shows former U.S. Secretary of Labor Alex Acosta and his family.	Is This a  Real Photograph of Alex Acosta’s Family?
41	A photograph shows American neo-Nazis performing a Nazi salute in front of a burning swastika in Draketown, Georgia, in 2018.	Does This Photograph Show Neo-Nazis Posing Under a Burning Swastika in Draketown, Georgia?
42	A photograph shows President Trump holding crib notes during a listening session with survivors of the Parkland, Florida, school shooting.	Did Trump Use ‘Crib Notes’ During Listening Session with Parkland Survivors?
43	A photograph shows U.S. President Bill Clinton with billionaire/financier and convicted sex offender Jeffrey Epstein.	Is This Bill Clinton with Jeffrey Epstein?
44	A photograph shows U.S. President Donald Trump standing next to a manipulated version of the presidential seal.	Did Trump Deliver a Speech Next to an Altered Presidential Seal?
45	A photograph shows a blood-stained Quran found after the March 2019 Christchurch mass shootings.	Does This Photograph Show a Blood-Stained Quran from the Christchurch, NZ, Attack?
46	A photograph shows a flooded runway at Northwest Florida Beaches International Airport during Hurricane Michael in October 2018.	Is This a Photograph of a Florida Airport Flooded During Hurricane Michael?
47	A photograph shows a giant ammonite fossil from southeastern British Columbia.	Is This Giant Fossil Real?
48	A photograph shows a man giving Mitch McConnell a thumbs-down from the voting booth.	Did a Man Photobomb Mitch McConnell With a Thumbs-Down Gesture While They Voted?
49	"A photograph shows a man standing on a street corner holding a large sign that reads ""Homeless Niggers Go Back to Africa."""	Is This a Real Photograph of a Man Holding a ‘Homeless N*****s Go Back to Africa’ Sign?
50	A photograph shows a mountain that closely resembles a frozen elephant.	Is This Mountain Cliff Shaped Like an Elephant?
51	A photograph shows a pagoda flower that only blooms once every 400 years in the Himalayas.	Is This a Pagoda Flower That Only Blooms Once Every 400 Years?
52	"A photograph shows an African child on display in a ""human zoo"" at the 1958 World's Fair in Brussels, Belgium."	Is This a Photograph of a ‘Human Zoo’ at the 1958 World’s Fair?
53	A photograph shows an advertisement for Smirnoff vodka containing an apparent dig at President Trump.	Did Smirnoff Troll President Trump in a Vodka Advertisement?
54	A photograph shows an elephant carrying a lion cub.	Is This a Photograph of an Elephant Carrying a Lion Cub?
55	A photograph shows an optical illusion on the floor of a school hallway that was designed to prevent children from running.	Was This Hallway Designed to Prevent Children from Running?
56	A photograph shows columns of tanks taking part in President John Kennedy's inaugural parade.	Did JFK’s Inaugural Parade Include Columns of Tanks?
57	A photograph shows five people atop a skyscraper spire.	Is This a Photo of 5 People Atop a Skyscraper Spire?
