	vclaim	title
0	122 detainees released from confinement at Guantanamo Bay under President Obama have re-engaged in terrorist activities.	Did 122 Prisoners Released from Guantanamo by President Obama Return to the Battlefield?
1	70 per cent of the persons arrested during protests in Charlotte had out-of-state IDs.	70% of Arrested Charlotte Protesters Are Out-of-State Criminals
2	"A ""Trump and Obama by the Numbers"" meme recounts accurate statistics about their job performances."	Does This Meme Accurately Show ‘Trump and Obama by the Numbers’?
3	"A ""large-scale killing"" of white farmers is taking place in South Africa."	Is a ‘Large-Scale Killing’ of White Farmers Underway in South Africa?
4	"A ""law to separate families"" was enacted prior to April 2018, and the federal government is powerless not to enforce it."	Was the ‘Law to Separate Families’ Passed in 1997 or ‘by Democrats’?
5	"A ""newly uncovered"" photograph reveals Alexandria Ocasio-Cortez was crying over an empty parking lot, not detained migrant children, at a protest in Texas."	Does an Image Show Ocasio-Cortez Fake-Crying at a Migrant Camp?
6	A 13 percent increase in police-recorded crime in England and Wales is linked to a rise in 'radical Islamic terror.'	Is an Increase in Recorded Crime in England and Wales Linked to ‘Radical Islamic Terror’?
7	"A 13-year-old girl was beheaded by an ""illegal immigrant"" in a crime ""suppressed"" by the mainstream news media."	Police: 13-Year-Old Girl Was Beheaded After Seeing Her Grandmother Die
8	A Broward County employee witnessed elections staff filling out blank absentee ballots.	Did a Broward County Employee Witness Elections Staff Filling Out Blank Ballots?
9	A California couple gave their newborn child an emoji for a name.	Did a California Newborn Become the First Child with an Emoji for a Name?
10	"A Cleveland-area Fox affiliate described local murder suspect Steve Stephens as ""dark white."""	Did a Cleveland Fox Affiliate Label a Black Murder Suspect ‘Dark White’?
11	A Democratic National Committee tweet included an altered version of a Socialist party's poster	Did Democrats Tweet an Altered Version of a Socialist Party Poster?
12	A Detroit firefighter was fired for behavior deemed offensive and racially insensitive after bringing a watermelon to work on his first day on the job.	Was a Detroit Firefighter Fired for Bringing a Watermelon to His Station?
13	"A Florida judge ruled that the government can ban vegetable gardens because they're ""ugly.""  "	Judges Rules the Government Can Ban Vegetable Gardens
14	"A Fox News guest disparaged teenage climate activist Greta Thunberg by calling her ""mentally ill."""	Did a Fox News Guest Disparage Teen Climate Activist Greta Thunberg?
15	A Fox News guest referred to people injecting marijuana into their systems.	Did a Fox News Guest Refer to ‘Shooting Up’ Marijuana?
16	A GoFundMe page was established to collect donations for embattled Supreme Court nominee Brett Kavanaugh.	Was a GoFundMe Page Established for Brett Kavanaugh?
17	"A Japanese study found electronic cigarettes (popularly called ""e-cigs"") contain ten times as many carcinogens as tobacco cigarettes."	Do E-Cigarettes Really Contain Ten Times the Carcinogens of Tobacco Cigarettes?
18	"A July 1990 comic strip in Heavy Metal magazine featured a controversial wall in New York City, built by Donald Trump, and a populist ""rise to power"" by the future president."	Did a 1990 Comic Depict Trump Coming to Power and Building a Wall?
19	A Massachusetts judge passed a law making it legal for black men to run from police because they are at risk of being racially profiled.	Massachusetts Passes Law Allowing Black Men to Run from Police Due to Racial Profiling?
20	A Planned Parenthood affiliate published a tweet opining that there should be a Disney princess who had an abortion.	Did Planned Parenthood Say There Should Be a Disney Princess Who Had an Abortion?
21	A Russian flag was flown at the Texas State Capitol in celebration of Donald Trump's election.	Russian Flag at Texas State Capitol
22	A Russian woman was embalmed alive due to the intravenous administration of formalin.	Was a Russian Woman ‘Embalmed Alive’ with a ‘Formalin Drip’?
23	A Rutgers University professor was forced into a psychological evaluation due to political tweets.	New York Police Take Rutgers Professor for Psychological Evaluation Over Political Tweet?
24	A San Francisco mural portrait of Greta Thunberg used 700 gallons of spray paint.	Did a Mural of Greta Thunberg Use 700 Gallons of Spray Paint?
25	A Saturday Night Live writer was suspended for tweeting about Trump's youngest child.	Was a Saturday Night Live Writer Suspended Over a Tweet About Barron Trump?
26	A Trump Tower hotel opened in Pyongyang, North Korea within a day of the historic summit between President Trump and Kim Jong-Un.	Did a Trump Tower Open in Pyongyang?
27	A Trump staffer was convicted on ten counts of felony election fraud in November 2016.	Trump Staffer Convicted of Felony Election Fraud
28	A U.S. War Department film from the 1940s warns Americans that political rhetoric condemning minorities and foreigners is a precursor to fascist movements like Nazism.	Did a 1940s U.S. War Department Film Compare Anti-Minority Hate Speech to Nazi Propaganda?
29	A U.S. border patrol agent was killed by attackers using rocks near the border of the United States and Mexico.	Was a U.S. Border Patrol Officer Killed by Attackers Armed with Rocks?
30	"A WikiLeaks' DNC e-mail dump captured Democratic staffers referring to voters in Pennsylvania and Ohio as ""white trash"" and ""stupid.""  "	DNC Called Pennsylvania and Ohio Voters ‘White Trash’?
31	A baby giraffe that earned viral fame in April 2017 passed away a month after birth.	Famous Baby Giraffe Passes Away Only a Month After Birth?
32	"A banner was hung from Trump Tower in Las Vegas stating that U.S. President Donald Trump ""betrayed and murdered Kurdish people."""	Was a Banner Hung from Trump Tower Saying He ‘Betrayed and Murdered Kurdish People’?
33	A billboard along route I-170 near St. Louis, Missouri showed President Donald Trump alongside an excerpt from a well-known Gospel verse.	Did a Billboard in Missouri Show President Trump Alongside a Gospel Quote?
34	A child died in June 2018 because his parents used essential oils to treat his asthma.	Did a Child with Asthma Die After Parents Switched to Essential Oils as Treatment?
35	A company is developing a lab-grown chicken nugget made from feathers.	Are Chicken Nuggets Made From Feathers Heading to Store Shelves?
36	"A contestant on ""Who Wants to Be a Millionaire"" needed audience assistance in defining ""horsepower,"" as opposed to ""llamathrust"" and ""zebraforce."""	Did a Game Show Contestant Need Help Distinguishing Horsepower From ‘Llamathrust’?
37	A disturbing photograph depicts a small boy who was detained by ICE in 2018 being held in a cage.	Does This Photo Show a Toddler in a Cage Detained by ICE in 2018?
38	A fire at a Republican National Committee office in Stepford, Connecticut, destroyed potentially incriminating evidence related to Hillary Clinton.	Was an RNC Office That Held Clinton Evidence ‘Burned to the Ground’?
39	A half dozen Trump-related entities were under criminal investigation in December 2018.	Did Several Entities Related to President Trump Face Criminal Investigation in 2018?
40	A heavily pregnant woman was beaten by a Muslim refugee in Oklahoma.	Was a Pregnant Woman Beaten by a ‘Muslim Refugee’ in Oklahoma?
41	A lack of media attention regarding a $12 billion reduction to the national debt during President Trump’s first month in office is attributable to biased news coverage.	‘Media Silence’ on $12B Reduction to the National Debt During Trump’s First Month?
42	"A leaked e-mail revealed Clinton aide Cheryl Mills calling the men who died in Benghazi ""idiot soldiers"" and saying she was glad they were tortured."	Cheryl Mills Called Benghazi Dead ‘Idiot Soldiers’ in Leaked E-Mail
43	"A magazine advertisement from the 1950s promoted a handgun for women's use with the slogan ""for that strange, depraved creep who won't leave you alone."""	Is This a 1950s Women’s Magazine Ad for a Handgun to Shoot ‘Depraved Creeps’?
44	A majority of anti-Trump protesters did not vote in the 2016 general election.	Most Trump Protesters Didn’t Vote?
45	A majority of anti-Trump protesters did not vote in the 2016 general election. 	Most Trump Protesters Didn’t Vote?
46	A man collapsed into a coma for three days after discovering his wife owned the property they had been renting for 10 years.	Did a Man Fall into Coma After Discovering Wife Owned House They Rented?
47	A man named Shane Patrick Boyle died shortly after starting a GoFundMe fundraiser for insulin.	Did Shane Patrick Boyle Die After Fundraising to Pay for Insulin?
48	A man who was either the organizer of the 2017 white nationalist rally in Charlottesville, Virginia or the driver of the car that ran down protesters, killing one, is a Democrat who was photographed meeting President Obama in the Oval Office.	Was White Supremacist Who Killed Protester a Democrat Who Visited Obama in Oval Office?
49	A medical examiner's conclusion that Health and Human Services drug pricing adviser Daniel Best died of multiple blunt force injuries contradicts the official ruling that he committed suicide.	Was HHS Drug Pricing Czar Daniel Best’s Death Ruled a Suicide Despite Evidence of Foul Play?
50	A photograph captures Rep. Elise Stefanik flipping off the camera at the conclusion of a House impeachment inquiry.	Is This a Picture of Elise Stefanik Flipping the Bird at an Impeachment Inquiry?
51	A photograph captures a couple kissing amidst the 1971 May Day protests.	Does This Photograph Show a Couple Kissing During the 1971 May Day Protests?
52	A photograph depicts an elderly homeless couple sleeping on the concrete in California.	Is This an ‘Elderly Homeless Couple’ in California?
